21,Leading product management team. He is a Product Management geek who has helped scale some of the biggest companies in Finance and Retail using technology,Cleartax,Director of Product,2008,B.Tech.,India,Aerospace Engineering,Core engineering,1,0,1,0,Mumbai,Male,CR103
22,He has worked in the field of aerospace on satellites and jet engines. Currently his company is working on the green propulsion system for the satellites.,Manastu Space Technologies,CEO,2014,Dual Degree,India,Aerospace Engineering,Core engineering,3,0,1,0,Mumbai,Male,CR104
23,He is professor at Marwadi Education Foundation Group in Institution. His main interest topics are Structural Control using Passive Energy Dissipation devices,"Marwadi Education Foundation Group in Institution, Rajkot",Professor,2010,Ph.D.,India,Civil Engineering,Core engineering,2,0,1,0,Vallabh Vidyanagar,Male,CR105
24,"He has expertise in Evaporative cooling solutions, Dry cooling soultions, Solar Technologies, Solar thermal process heat applications, solar thermal power plant simulations",Thermax Ltd,Manager,2006,M.Tech.,India,Energy Science & Engineering,Core engineering,1,0,1,0,Pune,Male,CR106
25,"Aerospace structural design, testing, vibration, acoustics-testing, fabrication, metallurgy. Currently Deputy Project Director, GSLV MkIII at Vikram Sarabhai Space Centre/ISRO",Vikram Sarabhai Space Centre/ISRO,"Deputy Project Director, GSLV MkIII",2004,M.Tech.,India,Aerospace Engineering,Core engineering,2,0,1,0,Thiruvananthapuram,Male,CR107
26,"He works in Process engineering, Production management. Production manager with 1.5 years of experience. 6 Years of process engineering experience in central technical services.",PI Industries,Manager,2013,B.Tech.,India,Chemical Engineering,Core engineering,2,0,1,0,Ankleshwar,Male,CR108
27,"He has 41 years of experience in Manufacturing with Aditya Birla Group and UltraTech in Cement, Carbon Black, Aluminum, Acrylic Fiber, Sponge Iron. Certified CFI Executive Coach.",NIL,Retired,1976,B.Tech.,India,Chemical Engineering,Core engineering,2,0,1,0,Mumbai,Male,CR109
28,"Head Technology Mgmt Mahindra; Vice president R&D, Innovation, Thermax; Chief R&D, Forbes Marshall; Thermal Egg, R&D, Innovation, Technology, Energy, Heat Exchangers, Knowledge Mgmt.",MAITRI,Founder MAITRI,1974,M.Tech.,India,Mechanical Engineering,Core engineering,2,0,1,0,Pune,Male,CR110
29,Senior Staff Engineer at Qualcomm Inc. Working in VLSI Design implemented with the latest tech nodes. He has 15+ years of experience in working for Semiconductor manufacturing companies.,Qualcomm India Pvt Ltd,Staff Program Manager,2001,M.Tech.,India,Electrical Engineering,Core engineering,4,0,1,0,Bengaluru,Male,CR111
30,Mathisys Advisors is a quantitative trading firm with focus on high & medium frequency trading in various asset classes across the globe. He has been leading the technology team in the firm.,Mathisys Advisors LLC,Chief Technology Officer,1988,B.Tech.,United States,Electrical Engineering,Core engineering,2,0,1,0,Cupertino,Male,CR112
31,She currently leads the definition of next generation server chips. She has attended University of Illinois Urbana-Champaign. She is an Architect at Intel Corporation. San Francisco Bay Area ,Intel Corporation,Product Architect,2002,Dual Degree,United States,Electrical Engineering,Core engineering,1,0,1,0,Cupertino,Female,CR113
32,"Wide experience in Instrumentation industry (Computers, networks, communication, electronics, electricals, software) in India and abroad, at site and in office. Engineering and administrative.",Own consultancy,Consultant,1984,B.Tech.,India,Electrical Engineering,Core engineering,2,0,1,0,Mumbai,Male,CR114
33,"He works at Institute of Oil and Gad Production Technology, an R&D institute of ONGC at Panvel, Navi Mumbai. His work involves basic and applied research in Well Stimulation and Well Completion",ONGC Limited,Executive Engineer (Production),2014,Dual Degree,India,Mechanical Engineering,Core engineering,2,0,1,0,Mumbai,Male,CR115
34,"He has worked in Systems Engineering, Mechanical Design, Research & Innovation for more than 20 years. Ex-TCS, GE, TATA Motors, Bajaj Auto. Has got more than 25 years experience in automotive industry.",Wabtec Corporation,Principal Engineer,1988,B.Tech.,India,Mechanical Engineering,Core engineering,3,0,1,0,Bangalore,Male,CR116
